FR19730	Banque Nomura France
FR19806	Caisse régionale de crédit agricole mutuel de la Martinique et de la Guyane
FR19870	Carrefour banque
FR19906	Caisse régionale de crédit agricole mutuel de la Réunion
FR20041	La Banque Postale
FR21570	SOCIÉTÉ FINANCIÈRE DE LA N.E.F.
FR21670	Loomis FX, Gold and Services
FR22040	Confédération Nationale du Crédit Mutuel
FR22970	Epargne crédit des militaires (E.C.M.)
FR23779	Byblos bank Europe
FR23890	Attijariwafa bank europe
FR24349	Banque J. Safra Sarasin (Monaco) SA
FR24599	Milleis Banque
FR24659	Banque Chabrières
FR25080	Axa banque financement
FR27800	KBC bank
FR28570	Caisse de crédit municipal de Dijon
FR30002	CREDIT LYONNAIS (LCL)
FR30003	Société générale S.A.
FR30004	BNP Paribas
FR30006	Crédit Agricole S.A.
FR30007	Natixis
FR30027	Banque CIC Nord Ouest
FR30047	Banque CIC Ouest
FR30051	Compagnie de financement foncier
FR30056	HSBC Continental Europe
FR30066	Crédit industriel et commercial - CIC
FR30087	Banque CIC Est
FR30258	Banque du bâtiment et des travaux publics - BTP banque
FR30438	ING Bank NV
FR30478	Monte Paschi banque S.A.
FR30568	Banque Transatlantique S.A.
FR30588	Barclays Bank Ireland
FR30628	JPMorgan Chase bank, National Association
FR30748	Lazard Frères Banque
FR30958	BNP Paribas Lease Group
FR31489	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
FR40031	Caisse des dépôts et consignations - section générale
FR40398	Banque internationale de commerce - BRED
FR40618	Boursorama
FR40978	Banque Palatine
FR41189	Banco Bilbao Vizcaya Argentaria (BBVA)
FR41219	BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY
FR41249	MUFG Bank, Ltd
FR41259	Bank Melli Iran
FR41439	Banque Chaabi du Maroc
FR41539	CA Consumer Finance
FR41639	NBK France SA
FR41829	Al Khaliji France
FR41919	BNP Paribas Réunion
FR42559	CREDIT COOPERATIF
FR42799	My Money Bank
FR43199	Crédit Foncier de France
FR43629	Société anonyme de crédit à l'industrie française (C.A.L.I.F.)
FR43799	CA INDOSUEZ
FR43849	Tunisian foreign bank
FR43899	Union de banques arabes et françaises - U.B.A.F.
FR44149	Banque d'escompte
FR44269	Bank Saderat Iran
FR44319	Louvre Banque Privée
FR44729	Banco Santander SA
FR45539	Caisse centrale du crédit mutuel
FR45850	Oddo BHF SCA
FR26633	Allfunds Bank, S.A.U.
FR27033	Riverbank S.A.
FR17338	MEMO BANK
FR27133	ABN Amro Bank NV
FR27533	SMBC Bank EU AG
FR13188	PORTZAMPARC
FR14830	Société de bourse Gilbert Dupont
FR19553	ProCapital
FR45418	BNP PARIBAS FINANCIAL MARKETS
FR12148	SG option Europe
FR12583	BofA Securities Europe SA
FR23233	Citigroup global markets Europe AG
FR14433	Morgan stanley europe SE
FR23633	MUFG SECURITIES (EUROPE) N.V.
FR17128	BARCLAYS BANK PLC, FRENCH BRANCH
FR27633	BUNQ B.V
FR27733	CA Auto Bank S.p.A. Succursale en France
FR28033	KLARNA BANK AB
FR28233	REVOLUT BANK UAB
FR28533	Solaris SE
FR16788	SANTANDER CONSUMER FINANCE, S.A.
FR11689	CITIBANK EUROPE PUBLIC LIMITED COMPANY
FR19633	Berlin Hyp AG
FR11998	Unicredit Bank GmbH
FR19533	BANK OF COMMUNICATIONS (LUXEMBOURG) S.A.
FR17538	National Australia Bank Europe S.A
FR29333	HSBC PRIVATE BANK (LUXEMBOURG) S.A.
FR16608	LA BANQUE POSTALE HOME LOAN SFH
FR21733	Adyen N.V.
FR16908	Ma French Bank
FR20433	N26 BANK SE
FR17863	Deutsche Pfandbriefbank AG
FR16618	The Export-Import Bank of China
FR12933	Caixabank
FR11728	MMB SCF
FR16998	ROYAL BANK OF CANADA
FR15333	Toyota material handling commercial finance AB
FR16648	UNION BANCAIRE PRIVEE, UBP SA
FR30133	Banque J. Safra Sarasin (Luxembourg) SA, Succursale en France
FR17628	The Access Bank UK Limited
FR922577887	BEA INTERNATIONAL
FR17708	CREDIT AGRICOLE FINANCEMENT DE L HABITAT SFH
FR16433	J.P. Morgan SE
FR23033	HOIST FINANCE AB
FR19973	Mirabaud & Cie (Europe) SA
FR16688	AGENCE FRANCE LOCALE
FR16773	Lombard Odier (Europe) S.A
FR16668	Australia and New Zealand banking group limited
FR18233	CHINA CONSTRUCTION BANK (EUROPE) S.A
FR31033	Mizuho Bank Europe N.V. Paris Branch
FR980884084	Saxo Bank A/S
FR17858	ZENITH BANK (UK) LIMITED
FR31233	Trade Republic Bank GmbH
FR31333	Banque Internationale à Luxembourg S.A.
FR00006	Caisse des dépôts et consignations - fonds d'épargne
FR10057	Banque CIC Sud Ouest
FR10096	Lyonnaise de banque
FR10107	BRED - Banque populaire
FR10108	Bayerische Landesbank
FR10128	Intesa Sanpaolo SpA
FR10140	Caisse de crédit municipal de Marseille
FR10160	CRÉDIT MOBILIER DE MONACO
FR10188	Banque Chalus
FR10206	Caisse régionale de crédit agricole mutuel du Nord Est
FR10207	Banque populaire Rives de Paris
FR10218	Coöperatieve Rabobank U.A.
FR10278	Caisse fédérale de crédit mutuel
FR10548	Banque de Savoie
FR10807	Banque populaire Bourgogne Franche-Comté
FR10907	Banque populaire Aquitaine Centre Atlantique
FR10918	Cholet Dupont Oudart
FR11006	Caisse régionale de crédit agricole mutuel de Champagne-Bourgogne
FR11128	BPCE lease
FR11138	BPCE Factor
FR11188	RCI Banque
FR11206	Caisse régionale de crédit agricole mutuel Nord Midi-Pyrénées
FR11238	SwissLife banque privée
FR11306	Caisse régionale de crédit agricole mutuel Alpes Provence
FR11307	CASDEN Banque Populaire
FR11315	Caisse d'Epargne CEPAC
FR11380	C.R.H. - Caisse de refinancement de l'habitat
FR11425	Caisse d'épargne et de prévoyance Normandie
FR11438	Banque Hottinguer
FR11449	BANQUE FIDUCIAL
FR11470	Natixis coficiné
FR11550	Caisse de crédit municipal de Toulouse
FR11600	Crédit mutuel Real Estate Lease
FR11668	Edmond de Rothschild (Monaco)
FR11706	Caisse régionale de crédit agricole mutuel Charente-Maritime Deux-Sèvres
FR11808	Banque fédérative du crédit mutuel
FR24333	UBS Europe SE
FR23133	NATWEST MARKETS N.V.
FR23733	Standard Chartered Bank AG
FR24733	Bank of Montreal Europe plc
FR11833	Industrial and commercial bank of China (Europe) SA - ICBC (Europe) SA
FR11899	Banque Européenne du Crédit Mutuel
FR11978	Crédit Mutuel Factoring
FR11989	Banque Pouyanne
FR11999	UBS (MONACO) S.A.
FR12006	Caisse régionale de crédit agricole mutuel de la Corse
FR12128	Société centrale pour le financement de l'immobilier - Socfim
FR12135	Caisse d'épargne et de prévoyance de Bourgogne Franche-Comté
FR12179	Banque BIA
FR12206	Caisse régionale de crédit agricole mutuel des Côtes-d'Armor
FR12240	Allianz banque
FR12249	BANK OF AFRICA UNITED KINGDOM PLC (succursale de Paris)
FR12280	Socram banque
FR12406	Caisse régionale de crédit agricole mutuel Charente-Périgord (Crédit agricole  Charente-Périgord)
FR12420	Caisse de crédit municipal de Reims
FR12448	Barclays bank plc monaco
FR12468	Banque cantonale de Genève (France) S.A.
FR12478	FCE bank plc
FR12506	Caisse régionale de crédit agricole mutuel de Franche-Comté
FR12548	Axa banque
FR12579	Banque BCP
FR12619	Caixa geral de depositos S.A.
FR12739	CFM Indosuez Wealth
FR12749	BPCE Bail
FR12779	BRED Cofilease
FR12818	Institut pour le financement du cinéma et des industries culturelles - I.F.C.I.C.
FR12869	ONEY BANK
FR12879	Banque Delubac et Cie
FR12906	Caisse régionale de crédit agricole mutuel du Finistère
FR12978	JCB Finance
FR13070	Crédit Mutuel Leasing
FR13088	BNP PARIBAS ANTILLES-GUYANE
FR13106	Caisse régionale de crédit agricole mutuel Toulouse 31
FR13135	Caisse d'épargne et de prévoyance de Midi-Pyrénées
FR13149	Banque Edel SA
FR13150	LixxBail
FR13168	Stellantis Financial Services Europe
FR13306	Caisse régionale de crédit agricole mutuel d'Aquitaine
FR13335	Caisse d'épargne et de prévoyance Aquitaine Poitou-Charentes
FR13338	BANQUE RICHELIEU MONACO
FR13368	Société générale private banking (Monaco)
FR13485	Caisse d'épargne et de prévoyance du Languedoc Roussillon
FR13506	Caisse régionale de crédit agricole mutuel du Languedoc
FR13507	Banque populaire du Nord
FR13528	Unicredit SpA
FR13558	Auxifip
FR13579	Banque Saint-Olive
FR13580	FACTOFRANCE
FR13606	Caisse régionale de crédit agricole mutuel d'Ille-et-Vilaine
FR13698	Ester finance technologies
FR13733	The bank of New York Mellon SA/NV
FR13769	Société générale pour le développement des opérations de crédit-bail immobilier- Sogebail
FR13807	Banque populaire Grand Ouest
FR13825	Caisse d'épargne et de prévoyance de Rhône Alpes
FR13838	CNH Industrial Capital Europe
FR13878	Toyota Kreditbank GmbH - Toyota France financement
FR13906	Caisse régionale de crédit agricole mutuel Sud Rhône-Alpes
FR14006	Caisse régionale de crédit agricole mutuel de la Guadeloupe
FR14078	Caisse de crédit municipal de Lille
FR14120	GRESHAM Banque
FR14218	Claas financial services
FR14265	Caisse d'épargne et de prévoyance Loire Drôme Ardèche
FR14318	BRED Gestion
FR14328	Amundi finance
FR14388	Caisse Française de Financement Local
FR14406	Caisse régionale de crédit agricole mutuel Val de France
FR14445	Caisse d'épargne et de prévoyance Bretagne-Pays de Loire
FR14478	ROTHSCHILD & CO WEALTH MANAGEMENT MONACO
FR14505	Caisse d'épargne et de prévoyance Loire-Centre
FR14506	CR CREDIT AGRICOLE MUTUEL LOIRE HTE LOIR
FR14508	BANK JULIUS BAER (MONACO) S.A.M.
FR14518	ARKEA DIRECT BANK
FR14607	BANQUE POPULAIRE MEDITERRANEE
FR14628	FLOA
FR14633	Western union international bank GmbH
FR14648	Capitole Finance - Tofinso
FR14658	CIF EUROMORTGAGE
FR24833	State Street Bank International GmbH
FR17188	AXA Home Loan SFH
FR25533	Goldman Sachs Bank Europe SE
FR25933	DekaBank Deutsche Girozentrale
FR25833	Macquarie Bank Europe Designated Activity Company
FR17288	Bank PICTET & CIE (Europe) AG
